date,topix,exrate,indprod,cpi,saunemp,intrate
Jan-75,276.09,29.13,47.33,52.625,1.7,12.67
Feb-75,299.81,29.7,46.86,52.723,1.8,13
Mar-75,313.5,29.98,46.24,53.114,1.8,12.92
Apr-75,320.57,29.8,47.33,54.092,1.8,12.02
May-75,329.65,29.79,47.33,54.385,1.8,11.06
Jun-75,327.74,29.6,47.8,54.385,1.8,10.72
Jul-75,323.47,29.94,48.27,54.483,1.8,11
Aug-75,309.81,30.29,48.27,54.385,1.9,10.69
Sep-75,299.07,30.34,48.67,55.559,2,9.67
Oct-75,308.57,30.01,48.82,56.440,2.1,8.73
Nov-75,315.79,29.99,48.04,56.146,2.1,7.61
Dec-75,315.91,29.83,49.06,56.146,2.1,7.96
Jan-76,337.33,29.91,49.93,57.222,2.1,7.28
Feb-76,336.89,30.25,51.18,57.613,2,7
Mar-76,341.6,30.68,51.97,57.809,2,7
Apr-76,334.41,31.02,52.67,59.178,2.1,6.75
May-76,341.17,31.12,52.52,59.472,2.1,6.75
Jun-76,352.54,31.21,53.46,59.570,2,6.9
Jul-76,351.37,31.7,53.93,59.863,2,7.08
Aug-76,355.16,32.03,54.08,59.570,2,7.25
Sep-76,354.88,32.35,54.01,61.037,2,7.05
Oct-76,351.59,32,54.01,61.330,2,6.77
Nov-76,346.93,31.55,54.79,61.330,2,6.77
Dec-76,364.87,31.62,55.02,62.113,1.8,7.11
Jan-77,379.53,31.99,55.49,62.602,1.9,7
Feb-77,380.55,32.74,54.71,62.993,2,7
Mar-77,376.92,33.27,55.49,63.287,2,6.69
Apr-77,374.55,33.9,55.18,64.363,1.9,5.87
May-77,378.9,33.55,54.95,64.950,2.1,5.18
Jun-77,376.04,34.11,55.42,64.656,2.1,5.48
Jul-77,375.06,35.05,54.32,64.558,2.1,5.66
Aug-77,380.99,34.95,55.49,64.656,2,5.75
Sep-77,387.65,34.97,55.49,65.634,2,4.98
Oct-77,380.98,36.43,55.02,66.123,1.9,4.92
Nov-77,367.2,37.74,56.12,65.341,2,4.62
Dec-77,362.68,37.84,56.51,65.243,2.1,5.01
Jan-78,374.29,37.49,57.06,65.439,2.1,4.79
Feb-78,384.47,37.52,56.67,65.830,2.2,4.8
Mar-78,397.03,38.82,57.92,66.417,2.2,4.62
Apr-78,410.48,40.63,57.92,67.101,2.2,4.14
May-78,409.68,40.16,58.08,67.493,2.3,4.06
Jun-78,412.07,42.22,58.39,67.199,2.3,4.11
Jul-78,422.56,44.84,58.79,67.493,2.2,4.44
Aug-78,419.87,47.06,59.57,67.591,2.3,4.39
Sep-78,427.97,46.43,60.04,68.275,2.4,4.25
Oct-78,436.1,47.06,60.12,68.471,2.2,4.18
Nov-78,440.34,45.9,60.43,67.786,2.2,3.93
Dec-78,446.92,44.62,60.98,67.688,2.2,4.57
Jan-79,459.51,44.04,60.9,67.786,2.2,4.29
Feb-79,452.7,43.51,60.82,67.591,2,4.35
Mar-79,447.78,42.28,61.37,68.275,2.1,4.64
Apr-79,444.66,40.45,61.61,69.058,2.1,4.89
May-79,453.71,40.24,62.94,69.645,2,5.12
Jun-79,444.27,39.91,63.17,69.742,2,5.34
Jul-79,442.39,39.74,63.64,70.427,2.2,5.8
Aug-79,450.3,39.53,64.59,69.645,2.2,6.69
Sep-79,455.33,38.59,63.41,70.525,2,6.81
Oct-79,450.66,37.35,64.74,71.405,2.1,6.74
Nov-79,445.45,35.15,65.53,71.112,2.1,7.58
Dec-79,453.45,35.41,65.29,71.601,2,8.05
Jan-80,463.8,35.65,65.76,72.286,1.9,8.06
Feb-80,469.7,34.88,68.19,72.873,1.9,8.74
Mar-80,455.85,35.03,66.39,73.264,1.9,10.73
Apr-80,460.95,34.78,67.56,74.633,2,12.21
May-80,466.92,37.56,67.09,75.220,2,12.56
Jun-80,467.89,39.1,66.39,75.514,1.9,12.64
Jul-80,469.2,38.41,66.31,75.611,2,12.7
Aug-80,473.65,38.12,64.35,75.416,2.1,12.09
Sep-80,483.22,39.8,65.37,76.687,2,11.4
Oct-80,494.11,41.22,65.76,76.883,2.1,11.04
Nov-80,494.3,41.13,64.9,76.981,2.2,9.5
Dec-80,489.74,42.27,65.84,76.785,2.2,9.49
Jan-81,505.68,44.09,65.92,77.568,2.1,8.91
Feb-81,505.87,44.46,65.68,77.470,2.3,8.6
Mar-81,515.78,43.84,65.92,77.666,2.2,8.04
Apr-81,546.03,43.04,65.92,78.350,2.2,7.19
May-81,554.96,43.01,64.9,79.035,2.3,7.06
Jun-81,568.67,43.02,66.54,79.133,2.3,7.12
Jul-81,590,42.14,67.09,78.937,2.2,7.26
Aug-81,596.74,42.33,66.86,78.546,2.1,7.24
Sep-81,564.58,42.13,67.96,79.817,2.2,7.26
Oct-81,545.04,41.46,68.35,80.013,2.2,7.05
Nov-81,558.1,42.61,68.35,79.915,2.2,6.8
Dec-81,566.1,43.79,68.11,80.013,2.2,6.7
Jan-82,572.84,43,67.72,80.013,2.2,6.58
Feb-82,570.7,41.67,67.25,79.915,2.2,6.58
Mar-82,536.85,41.05,67.96,80.013,2.3,6.68
Apr-82,534.98,40.66,67.01,80.600,2.3,7.16
May-82,555.72,41.52,66.39,80.991,2.3,7.17
Jun-82,540.55,40.15,67.25,80.991,2.4,7.19
Jul-82,530.85,39.84,67.09,80.502,2.4,7.19
Aug-82,523.53,39.41,67.17,81.089,2.3,7.18
Sep-82,531.75,39.04,67.48,82.263,2.4,6.99
Oct-82,541.43,38.12,65.53,82.556,2.5,6.92
Nov-82,566.04,39.38,67.17,81.774,2.4,6.68
Dec-82,583.09,42.34,66.47,81.676,2.5,6.92
Jan-83,588.77,43.92,67.01,81.774,2.7,6.64
Feb-83,585.86,43.69,66.78,81.480,2.7,6.57
Mar-83,601.16,43.65,67.72,81.969,2.6,6.69
Apr-83,618.29,43.96,67.72,82.263,2.7,6.3
May-83,633.3,44.61,68.03,83.143,2.7,6.08
Jun-83,644.5,44.16,68.74,82.654,2.6,6.2
Jul-83,661.54,44.39,68.5,82.263,2.6,6.39
Aug-83,669.89,44.25,70.07,82.067,2.8,6.46
Sep-83,684.49,44.57,71.01,83.045,2.7,6.53
Oct-83,686.21,46.08,70.7,83.730,2.6,6.43
Nov-83,686.46,46.15,71.4,83.339,2.6,5.99
Dec-83,705.43,46.86,72.34,83.045,2.6,6.44
Jan-84,759.63,47.38,72.89,83.339,2.7,6.05
Feb-84,772.6,46.78,74.69,83.828,2.7,6.04
Mar-84,813.28,47.83,74.07,84.024,2.7,6.45
Apr-84,857,48.31,73.83,84.121,2.7,5.88
May-84,822.35,47.91,75.16,84.806,2.7,5.74
